Entry,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Entry 64,Manuel Rimachi Y.,M. Rimachi Y.,,4268,"February 8, 1979",1979-02-08,,Nectandra krukovii (A.C. Smith) Kosterm.,Endlicheria anomala (Nees) Mez,A. Chanderbali,2001,,PERU,LORETO,Requena,Dtto. Saquena,"Río Ucayali, Quebrada de Aucayacu, above Genaro Herrera, marginal forest, ""muena,"" 8 m, fr. green","Río Ucayali, Quebrada de Aucayacu, above Genaro Herrera, marginal forest, ""muena,"" 8 meters, fr. green",marginal forest,8 m,,2055606,Typed,no type status
Entry 65,COLECCION DENDROLOGICA: SALVADOR FLORES P.,S. Flores P.,,95(P1-2),Julio/82,1982-07-00,,Poraqueiba SERICEA TUL.,Poraqueiba SERICEA TUL.,T. PLOWMAN,1985,,PERU,LORETO,MAYNAS,,AMPIYACU-PEVAS,AMPIYACU-PEVAS,BOSQUE SECUNDARIO 35 Años,100 m.s.n.m.,,,Mix of Handwritten and Typed,no type status
Entry 66,Percy Núñez & S. Walsh,Percy Núñez,S. Walsh,6330,29 October 1986,1986-10-29,,Euphorbia heterophylla L.,Euphorbia heterophylla L.,M. J. Huft,1987,,PERU,CUZCO,La Convención,Quillabamba,"Quillabamba, Salespampa","Quillabamba, Salespampa",Herb 0.6 m; fruits green,Alt. 1110 m,,,Typed,no type status
Entry 67,Jose Schunke,Jose Schunke,,9560,30 Mayo 1977,1977-05-30,,Hamelia patens Jacq.,Hamelia patens Jacq.,J. Dwyer,1980,,PERU,San Martin,Lamas,Alonso de Alvarado,"Provincia: Lamas; Distrito: Alonso de Alvarado. San Juan de Pacaizapa, km. 72 carretera Tarapoto-Moyobamba. Alt. 1000-1050 m.","San Juan de Pacaizapa, km. 72 carretera Tarapoto-Moyobamba","Arbusto de 1.5-2 m., flores strong reddish orange, sepalos dark red, frutos dark red, de 1 cm. de largo, por 7 mm. de diametro, carnoso. En bosque secundario, con abundante luz solar.",Alt. 1000-1050 m.,,1872133,Typed,no type status
Entry 68,"G.Moore,L.Luna,J.Ruiz",G. Moore,L. Luna|J. Ruiz,138,18-8-81,1981-08-18,,"Ficus ""Oje"" MORACEAE",Ficus maxima P. Miller,William C. Burger,1982,,PERU,Loreto,,,"Quistococha, 14km north of Iquitos, 600m elev","Quistococha, 14km north of Iquitos, 600m elevation","Tree of 20m. Important medicinal plant. The ""milk"" from the bark is drunk",600m elev,UTM grid:,№ 1023146,Mix of Handwritten and Typed,VOUCHER SPECIMEN
Entry 69,"E. P. KILLIP, A. C. SMITH",E. P. KILLIP,A. C. SMITH,26721,"July 20, 1929",1929-07-20,,Psychotria racemosa (Aubl.) Willd.,Psychotria racemosa (Aubl.) Willd.,,,,Peru,Junín,,,"Dept. Junín: Cahuapanas, on Río Pichis; alt. about 340 meters; dense forest","Cahuapanas, on Río Pichis",dense forest,about 340 meters,,607534,Typed,no type status
Entry 70,M. O. Dillon and I. Sánchez V.,M. O. Dillon,I. Sánchez V.,6310,22 Jul 1991,1991-07-22,,Wissadula grandifolia Baker ex Fusby,Wissadula grandifolia Baker ex Fusby,P. Fryxell,1993,,Peru,Piura,Huancabamba,Canchaque,ca. 2 km N of Canchaque,ca. 2 kilometers N of Canchaque,Shrubs to 1 m; flowers yellow,ca. 1450 m alt.,[5°24'S; 79°36'W],№ 2119563,Typed,no type status
Entry 71,COLL. J. FRANCIS MACBRIDE,J. F. Macbride,,4806,"JUNE 23, 1923",1923-06-23,,Croton Baillonianus,Croton Baillonianus,,,,PERU,,,,CUEVA GRANDE ESTACION NEAR POZUZO,CUEVA GRANDE ESTACION NEAR POZUZO,Sunny brushy slope. Open brushy 4-5 ft,ABOUT 3500 FEET,,535840,Typed,no type status
Entry 72,A. Sagástegui A.,A. Sagástegui,,,26-V-1977,1977-05-26,,Geranium chilloense Kunth,Geranium chilloense Kunth,C. Aedo,2007,,Peru,Cajamarca,Contumazá,,"Jalca, Provincia Contumazá, Dpto. Cajamarca","Jalca, Provincia Contumazá, Dpto. Cajamarca",Ladera abierta,3250,,1684365,Mix of Handwritten and Typed,no type status
Entry 73,"Leg. J. Mostacero L., S. Leiva G., F. Mejía C., F. Peláez P., J. Guevara B.",J. Mostacero L.,S. Leiva G.|F. Mejía C.|F. Peláez P.|J. Guevara B.,1640,14-XI-1986,1986-11-14,,Dalechampia aristolochiifolia Kunth,Dalechampia aristolochiifolia Kunth,M. J. Huft,1992,,Peru,Cajamarca,Cutervo,,La Pucarilla (Socota-San Andrés),La Pucarilla (Socota-San Andrés),Ladera al borde de carretera,2450 m.s.m.,,199382,Typed,no type status
Entry 74,,,,,,,,,,,,,,,,,,,,,,,,
Entry 75,"G. KLUG, Collector",G. Klug,,660,"October-November, 1929",1929-10-00,1929-11-00,Batesia floribunda Benth.,Batesia floribunda Benth.,H. Harms,,,Peru,Loreto,,,"Dept. Loreto: Mishuyacu, near Iquitos, alt. 100 meters; forest","Mishuyacu, near Iquitos, forest","""Huairuru colorado"". Tree 18 m. high; fls. yellow",alt. 100 meters,,,Mix of Handwritten and Typed,no type status
Entry 76,coll. T. R. Dudley,T. R. Dudley,,12063,24 Aug. 1968,1968-08-24,,Dendrophthora mesembryanthemifolia Urban,Dendrophthora sp.,Job Kuijt,18 Dec. 1984,,Peru,Ayacucho,La Mar,,"Prov. La Mar, Dept. Ayacucho, eastern Massif of the Cordillera Central opposing the Cordillera Vilcabamba between Tambo San Miguel, Ayna and the Hacienda Luisiana, c. 73°53'W; 12°45'S","eastern Massif of the Cordillera Central opposing the Cordillera Vilcabamba between Tambo San Miguel, Ayna and the Hacienda Luisiana, Punccu camp at 3220 meters, c. 45 kilometers walking distance SW from the Hacienda Luisiana and the Apurimac River; c. 30 kilometers from the Hacienda Santa Rosa; c. 10 kilometers from Tambo","Parasitic; foliage yellowish-green; calyx bright orange; fr. translucent pink, waxy in dense and isolated, 40-50 ft. high elfin hepatic forest at timberline",3220 meters,c. 73°53'W; 12°45'S,1721727,Typed,no type status
Entry 77,"G. KLUG, Collector",G. Klug,,1595,April 1931,1931-04-00,,Ficus Llewelyni Standl.,Ficus trigona L.f.,M. Vásquez Avila,Utrecht 1983,,Peru,Loreto,,,"Dept. Loreto. Mishuyacu, near Iquitos, alt. 100 meters; forest","Mishuyacu, near Iquitos, alt. 100 meters; forest",forest,alt. 100 meters,,873381,Typed,no type status
Entry 78,Mildred E. Mathias Dermot Taylor,M. E. Mathias,D. Taylor,5576,18 July 19 61,1961-07-18,,"MALPIGHIACEAE, BUT I CANNOT NAME IT STERILE, NOT EVEN TO GENUS",MALPIGHIACEAE,W. R. Anderson,1983,,Perú,Loreto,,Requena,vicinity of Requena,vicinity of Requena,"Liana 2-3 inches in diameter ""Barbasco silvestre""",,,1733057,Mix of Handwritten and Typed,no type status
Entry 79,José Schunke Vigo 5677,J. Schunke Vigo,,5677,17 Dec. 1964,1964-12-17,,"Paullinia imberbis Radlk. (det. by D.R. Simpson, Oct., 1970)",Paullinia bracteosa Radlk.,D. R. Simpson,2-21-1973,,Peru,Loreto,,,"Quebrada de Maquia, (Contamana) in tall forest, 220 m alt","Quebrada de Maquia, (Contamana) in tall forest, 220 meters altitude",tall forest,220 m alt,,1717601,Typed,no type status
Entry 80,COLL. LLEWELYN WILLIAMS,Llewelyn Williams,,3363,"SEPT.-OCT., 1929",1929-09-00,1929-10-00,Psychotria viridis R+P.,Psychotria viridis R.A.,C. HAMILTON,1988-9,,PERU,LORETO,,,ALTO RIO ITAYA,ALTO RIO ITAYA,Small tree. Fruit red. Forested Ack Itaya,ALT. 145 M.,,F. No. 3363|HERBARIUM FIELD MUSEUM 614121,Mix of Handwritten and Typed,no type status
Entry 81,"Coll. T. Plowman, A. Sagástegui A., J. Mostacero L., F. R. Mejía & F. Peláez",T. Plowman,A. Sagástegui A. | J. Mostacero L. | F. R. Mejía | F. Peláez,14242,12 July 1986,1986-07-12,,Abutilon mollissimum (Cav.) Sweet,Abutilon mollissimum (Cav.) Sweet,P. Fryxell,1987,,Peru,Cajamarca,Jaén,,"Road from Pucará to Chamaya, km. 21 east of Pucará, along Río Huancabamba","Road from Pucará to Chamaya, km. 21 east of Pucará, along Río Huancabamba",Dry scrub forest on steep slopes. Suffrutice de 1 m. de alto. Flores blancas,Alt. 700 m,,1973380,Typed,no type status
Entry 82,Magda Chanco with Michelle McMahon and Larry Hufford,Magda Chanco,Michelle McMahon|Larry Hufford,s.n.,14 April 2003,2003-04-14,,Abutilon sp.,Abutilon sp.,,,,PERU,CAJAMARCA,,,Chilete-San Pablo road about 15 km from Chilete. S7° 10.554' W78° 49.665'. 3614 feet elevation,Chilete-San Pablo road about 15 km from Chilete,,3614 feet elevation,S7° 10.554' W78° 49.665',2253555,Typed,no type status
Entry 83,"Marcos Ríos 4399 Tony Mori, Nigel Pitman, Luis Torres, Corine Vriesendorp",Marcos Ríos,Tony Mori|Nigel Pitman|Luis Torres|Corine Vriesendorp,4399,13 octubre 2014,2014-10-13,,Andira macrothyrsa Ducke,Andira macrothyrsa Ducke,,,,PERU,LORETO,"Prov. Requena, Dtto. de Soplín",,"Quebrada Yanayacu-Río Blanco. Campamento Wiswincho del inventario rápido #27, de la región Tapiche-Blanco. 05°48'33.5""S 73°51'53.8""W. Alt. 90-110 msnm","Quebrada Yanayacu-Río Blanco. Campamento Wiswincho del inventario rápido #27, de la región Tapiche-Blanco","Bosque de Planicie Inundable de aguas blancas. Árbol 7 m, flores amarillas y los botones son de color beish (beige)",Alt. 90-110 msnm,"05°48'33.5""S 73°51'53.8""W",N° 2318558,Typed,no type status
Entry 84,"Marcos Ríos 4399 Tony Mori, Nigel Pitman, Luis Torres, Corine Vriesendorp",Marcos Ríos,Tony Mori|Nigel Pitman|Luis Torres|Corine Vriesendorp,4399,13 octubre 2014,2014-10-13,,Andira macrothyrsa Ducke,Andira macrothyrsa Ducke,,,,PERU,LORETO,"Prov. Requena, Dtto. de Soplín",,"Quebrada Yanayacu-Río Blanco. Campamento Wiswincho del inventario rápido #27, de la región Tapiche-Blanco","Quebrada Yanayacu-Río Blanco. Campamento Wiswincho del inventario rápido #27, de la región Tapiche-Blanco","Bosque de Planicie Inundable de aguas blancas. Árbol 7 m, flores amarillas y los botones son de color beish (beige)",Alt. 90-110 msnm,"05°48'33.5""S 73°51'53.8""W",N° 2318557,Typed,no type status
Entry 85,"Ynes Mexia, No. 8265",Y. Mexia,,8265,"Oct. 9, 1936",1936-10-09,,Piper callosum Ruiz & Pavon,Piper callosum Ruiz & Pavon,Trelease,,,Peru,Huanuco,Huanuco,,Departamento and Provincia Huanuco. Near confluence Rio Cayumba with Huallaga; forested slope above road,Departamento and Provincia Huanuco. Near confluence Rio Cayumba with Huallaga; forested slope above road,"Perennial herb .8-2 m. high; stems weak; often forms small thickets; leaf blade joins petiole at angle, so often hangs perpendicular, shedding rain. Abundant. ""Matico.""",Alt. 805 m,,1066996,Typed,no type status
Entry 86,"Ynes Mexia, No. 6157",Y. Mexia,,6157,"Nov. 24, 1931",1931-11-24,,Piper callosum Ruiz & Pav.,Piper callosum Ruiz & Pav.,Trelease,,,Peru,Loreto,,,"Above Pongo de Manseriche, Right bank of mouth of Rio Santiago; dense forest","Above Pongo de Manseriche, Right bank of mouth of Rio Santiago; dense forest","Spreading, perennial herb 1.5 m. high; fruit brick-red when mature; fruit and foliage have a strong odor of wintergreen; tea is made from them. ""Huausa."" ""Anise del Monte.""",Alt. 200 m,,872277,Typed,no type status
Entry 87,Coll. Donald R. Simpson 565 & José Schunke V.,Donald R. Simpson,José Schunke V.,565,"January 4, 1968",1968-01-04,,"Ipomoea carnea Jacq. (det. D. Simpson, Jan. 1969)",Ipomoea carnea Jacq.,D. Simpson,Jan. 1969,,PERU,Tumbes,Tumbes,Pampas de Hospital,"Common from the dry, deciduous forest zone, downward into the very dry thorn-scrub. Along the road about 10 km. northwest of El Caucho. Bosque Nacional de Tumbes: Región de ""bosque muy seco tropical"" (sensu Tosi, 1960) cerca de El Caucho o entre El Caucho y Pampas de Hospital.","Common from the dry, deciduous forest zone, downward into the very dry thorn-scrub. Along the road about 10 kilometers northwest of El Caucho. Bosque Nacional de Tumbes: Región de ""bosque muy seco tropical"" (sensu Tosi, 1960) cerca de El Caucho o entre El Caucho y Pampas de Hospital.","Vine clamboring over shrubs; corolla pale lavender, open in the morning sun, closed on this cloudy afternoon when collected.",,,1897918,Typed,no type status
Entry 88,Coll. T. Plowman & P. M. Rury,T. Plowman,P. M. Rury,11105,6 December 1981,1981-12-06,,Ipomoea carnea Jacq.,Ipomoea carnea Jacq.,A. McDonald,1983,,Peru,Huánuco,Huánuco,,"DEPT. HUÁNUCO: Prov. Huánuco. 8 km. northeast of Huánuco on road to Tingo María. Approx. 9°52'S., 76°11'W. Alt. 1750 m.",8 km northeast of Huánuco on road to Tingo María,Scandent shrub on roadside near houses. Stem with milky sap. Fls. pink.,Alt. 1750 m,"Approx. 9°52'S., 76°11'W",,Typed,no type status
Entry 89,Robin B. Foster,R. B. Foster,,4240,"Aug. 19, 1978",1978-08-19,,Aechmea corymbosa (Mart. ex Schult. & Schult.f.) Mez,Aechmea corymbosa (Mart. ex Schult. & Schult.f.) Mez,E. J. Gouda,2018-02-05,,PERU,LORETO,Maynas,,Prov. Maynas: Rio Nanay Caseria Mishana 30km/SW of Iquitos,Prov. Maynas: Rio Nanay Caseria Mishana 30 kilometers Southwest of Iquitos,Terrestrial in white sand scrub; bracts bright red-pink; flowers white,,,1852637,Typed,no type status
Entry 90,"J. Farfán, L. Valenzuela, I. Huamantupa, A. Carazas, W. Argandoña 1262",J. Farfán,L. Valenzuela | I. Huamantupa | A. Carazas | W. Argandoña,1262,23 Octubre 2006,2006-10-23,,Anthurium clavigerum Poepp.,Anthurium clavigerum Poepp.,Thomas B. Croat,2008,,PERU,Cusco,La Convención,,"Dist. Vilcabamba, Chuanquiri camino a Riobamba, Bosque secundario","Dist. Vilcabamba, Chuanquiri camino a Riobamba, Bosque secundario","Bosque Secundario. Epifita, hasta 70 cm, espádice rojo, espata verde",1009 m,"12°47'15""S 073°10'10""W",2315782,Typed,no type status
Entry 91,Thomas B. Croat 18210,T. B. Croat,,18210,"July 18, 1972",1972-07-18,,Agave americana L.,Agave americana L.,,,,Peru,Loreto,,,Sandy area 12.5 km. SW of Iquitos on road to Lago Quisto-cocha,Sandy area 12.5 kilometers SW of Iquitos on road to Lago Quisto-cocha,"leaves to 1.5 m. long, in basal rosette; infl to ca 5 m. high; fruits green; a few infl branches arising from near base",,,1759629,Typed,no type status
Entry 92,coll. T. R. Dudley,T. R. Dudley,,10783,4 July 1968,1968-07-04,,Thelypteris dudleyi A. R. Smith,Thelypteris dudleyi A. R. Smith,Alan R. Smith,1989,,Peru,Cuzco,La Convencion,,Prov. La Convencion; Dept. Cuzco 12° 37'; 73° 32',"Common, terrestrial type with bright green foliage & purplish-black & glossy petioles; saxatile on almost vertical rock faces. In full sun on old open landslide, just above the cloud forest, between camp 4&5; almost to Camp 5; at c. 2825 m; one of the commonest colonizers of landslide","Common, terrestrial type with bright green foliage & purplish-black & glossy petioles; saxatile on almost vertical rock faces. In full sun on old open landslide, just above the cloud forest, between camp 4&5; almost to Camp 5; one of the commonest colonizers of landslide",c. 2825 m,12° 37'; 73° 32',1719861,Mix of Handwritten and Typed,ISOTYPE
Entry 93,S.Knapp,S. Knapp,,5881,4 July 1982,1982-07-04,,TRICHIPTERIS PINNATA Stolze,TRICHIPTERIS PINNATA Stolze,Robert G. Stolze,1984,,PANAMA,Colón,,,"Santa Rita Ridge road, 21-26 km from Transisthmian Highway. Tropical wet forest. 500-550 m. 9°25'N, 79°37'W","Santa Rita Ridge road, 21-26 km from Transisthmian Highway. Tropical wet forest. 500-550 meters. 9°25'N, 79°37'W",Terrestrial. Sori brown.,500-550 m,"9°25'N, 79°37'W",N° 1932768,Typed,ISOTYPE
Entry 94,COL.J. DORANTES NO. 455,J. Dorantes,,455,01/01/1972,1972-01-01,,WOODWARDIA SPINULOSA MART. & GAL.,WOODWARDIA SPINULOSA MART. & GAL.,I. Mónica Palacios-Rios,"September, 2000",,MEXICO,VERACRUZ,JALAPA,,ALTO DEL GATO.,ALTO DEL GATO.,BOSQUE CADUCIFOLIO VEG.PRIMARIA SUELO ROJO ARCILLOSO MUY ABUNDANTE HELECHO TAM. 1.30 M. PERENNE VEG. RIPARIA,,MAPA 38.5 29.0,P005051|1730602,Typed,no type status
Entry 95,"A. Monteagudo, C. Mateo, G. Ortiz. 4909",A. Monteagudo,C. Mateo|G. Ortiz,4909,10 Abril 2003,2003-04-10,,Blechnum occidentalis L.,Blechnum occidentalis L.,H. van der Werff,2005,,PERU,Pasco,Oxapampa,Distrito Pozuzo,"Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación. Bosque ribereño.","Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación. Bosque ribereño.","Helecho terrestre adpreso a la roca, soros marrones",1100-1250m,10°15'S 75°13'W,N° 2287355|C0644079F,Typed,no type status
Entry 96,"Ynes Mexia, No.8066",Y. Mexia,,8066,"May 14,1936",1936-05-14,,Adiantum pulverulentum L.,Adiantum pulverulentum L.,F. M. Tryon,1959,,Peru,Cusco,La Convencion,,upper valley of Rio Sambray; western affluent of Vilcanota; along stream in virgin forest,upper valley of Rio Sambray; western affluent of Vilcanota; along stream in virgin forest,Common; scattered,Alt. about 1800 m,,1065396|C0658238F,Typed,no type status
Entry 97,J.I. Calzada,J. I. Calzada,,5759,11-enero-1980,1980-01-11,,Diplazium franconis Liebm.,Diplazium franconis Liebm.,Robert G. Stolze,1983,"Liquidambar styraciflua, Quercus sp., Alnus sp.",México,Veracruz,Xico,Xico,Ranchería de Coatitilán,Ranchería de Coatitilán,"Bosque Caducifolio, Muy húmedo, Café arcilloso, Escasa, Hierba, 1 mts., soros cafés",1800 m.s.n.m.,"19° 23' N, 97° 04' W",1894963,Mix of Handwritten and Typed,no type status
Entry 98,Antonio Molina R.,A. Molina R.,,1427,"Nov. 4, 1948",1948-11-04,,Thelypteris piloso-hispida (Hook) Morton,Thelypteris rudis (Kunze)Proctor,A. R. Smith,1974,,HONDURAS,Morazán,,,"Helecho arboreo. Bosque lluvioso, norte de la Mt. Uyuca, caminos Tatumbla, Labranza y Quebrada El Granadillo, sobre la Mt. Uyuca, Drainage of the Rio Yeguare, at about Longitude 87° W. and Latitude 14° N., Department of Morazán","Helecho arboreo. Bosque lluvioso, norte de la Mt. Uyuca, caminos Tatumbla, Labranza y Quebrada El Granadillo, sobre la Mt. Uyuca, Drainage of the Rio Yeguare, at about Longitude 87° W. and Latitude 14° N., Department of Morazán",Bosque lluvioso,Alt. 1800 m,Longitude 87° W. and Latitude 14° N.,1394536|C0636906F,Typed,no type status
Entry 99,"B.León, K.Young & N.Huapaya",B. León,K. Young | N. Huapaya,2911,10 setiembre 1991,1991-09-10,,Thelypteris eucholora (Sod.) Reed,Thelypteris eucholora (Sod.) Reed,Robert G. Stolze,19 92,,PERU,CUZCO,PAUCARTAMBO,,"Bosque de Nubes, Río La Unión. En ladera","Bosque de Nubes, Río La Unión. En ladera","Hierba, rizoma masivo rastrero, hojas 1.5 m largo, pinnas reducidas base nectarios presentes",1700-1800 m,,C0665739F | 2112158,Mix of Handwritten and Typed,no type status
Entry 100,"Louis O. Williams, Antonio Molina R., Terua P. Williams, Dorothy N. Gibson, and Chester Laskowski",L. O. Williams,Antonio Molina R.|Terua P. Williams|Dorothy N. Gibson|Chester Laskowski,27621,"January 15, 1963",1963-01-15,,Polypodium blepharodes Maxon,Grammitis blepharodes (Maxon) Seymour,R. Stolze,1965,,NICARAGUA,Matagalpa,,,"Montane rain forest, or cloud forest, Disparate de Potter, Sta. Maria de Ostuma, Cordillera Central de Nicaragua, Department of Matagalpa, alt. 1600 m","Montane rain forest, or cloud forest, Disparate de Potter, Sta. Maria de Ostuma, Cordillera Central de Nicaragua, Department of Matagalpa, alt. 1600 meters",Epiphyte on mossy tree,alt. 1600 m,,1626179|C0626158F,Typed,no type status
Entry 101,Ken Young & Mark Eisenberg 265,K. Young,M. Eisenberg,265,20 April 1981,1981-04-20,,Thelypteris (subg. Amauropelta) cheilanthoides (Kunze) Proctor,Thelypteris (subg. Amauropelta) cheilanthoides (Kunze) Proctor,A.R. Smith,1989,,PERU,Cuzco,La Convencion,Quillabamba,"Dept. Cuzco; Prov. La Convencion. Just east of Quillabamba. Finca Chichima; cocoa, coffee, yuca, mangoes, bananas, corn crops grown. Alt. 1300-1400 m","Dept. Cuzco; Prov. La Convencion. Just east of Quillabamba. Finca Chichima; cocoa, coffee, yuca, mangoes, bananas, corn crops grown",Fern. Terrestrial; 1 m tall,1300-1400 m,,N° 2038794|C0665657F,Typed,no type status
Entry 102,Thomas G. Lammers,T. G. Lammers,,10674,9 May 1998,1998-05-09,,Dryopteris carthusiana (Vill.) H.P. Fuchs,Dryopteris carthusiana (Vill.) H.P. Fuchs,,,,United States of America,Illinois,Cook Co.,Palos Twp.,"Swallow Cliffs Woods Forest Preserve, southwest of the jct. of US Hwy 45 and State Hwy 83","Swallow Cliffs Woods Forest Preserve, southwest of the junction of US Highway 45 and State Highway 83",Local in mesic maple-basswood forest on steep slopes of deep ravine south of toboggan run,,,2228497 | C0045536F,Typed,no type status
Entry 103,"Louis O. Williams, Antonio Molina R., Albertina R. Molina",Louis O. Williams,Antonio Molina R.|Albertina R. Molina,12562,"Mayo 22, 1963",1963-05-22,,Polypodium montigenum Maxon,Polypodium montigenum Maxon,A. Molina R.,,,EL SALVADOR,Santa Ana,,,Bosque abierto de Montaña Montecristo,Bosque abierto de Montaña Montecristo,Epífita,Alt. 2000 m,,0267222|C0627900F|1661895,Typed,no type status
Entry 104,M. O. Dillon 5376,M. O. Dillon,,5376,21 Dec 1987,1987-12-21,,Notholaena mollis Kunze,Notholaena mollis Kunze,,,Cheilanthes mollis,Chile,Antofagasta,Antofagasta,,"Cerro Perales, ca. 5 km E of Taltal, 600-850 m alt. (25° 25' S, 70° 25' W)","Cerro Perales, ca. 5 kilometers East of Taltal","Terrestrial, growing in rock crevices",600-850 m,"25° 25' S, 70° 25' W",N° 2010984,Typed,no type status
Entry 105,ROLLA M. & ALICE F. TRYON 6566,R. M. Tryon,A. F. Tryon,6566,23 October 1965,1965-10-23,,Thelypteris lindigii (C.Chr.) Alston,"Thelypteris rufa (Poir.) A.R.Smith, ined.",A. R. Smith,"1979, 1989",,PERU,ANCASH,,,"Road from Huaras to Cusma, west valley","Road from Huaras to Cusma, west valley",damp shaded rocks,2800 m,,C0666362F|1833066,Typed,no type status
Entry 106,E. P. KILLIP & A. C. SMITH | Collectors,E. P. Killip,A. C. Smith,29741,"September 20-22, 1929",1929-09-20,1929-09-22,Dryopteris megalodus (Schk.) Urban,Thelypteris pennata (Poiret) C. Morton,Alan R. Smith,1989,,Peru,Loreto,,,"Dept. Loreto: Soledad, on Rio Itaya; alt. about 110 meters; dense forest","Soledad, on Rio Itaya; dense forest",dense forest,alt. about 110 meters,,C0666207F,Typed,no type status
Entry 107,E. P. KILLIP } Collectors,E. P. Killip,A. C. Smith,29437,"September 18, 1929",1929-09-18,,Dryopteris megalodus (Schk.) Urban,Thelypteris pennata (Poiret) C. Morton,Alan R. Smith,1989,,Peru,Loreto,,,"Dept. Loreto: San Antonio, on Rio Itaya; alt. about 110 meters; dense forest","San Antonio, on Rio Itaya; dense forest",dense forest,alt. about 110 meters,,1520627,Typed,no type status
Entry 108,COLL. MACBRIDE & FEATHERSTONE,J. F. Macbride,Featherstone,1622,"JULY 8-22, 1922",1922-07-08,1922-07-22,Dryopteris Pavoniana (Kl.) C.Chr.,Thelypteris pavoniana (Kl.) Tryon,Alan R. Smith,1979,,PERU,,,MITO,Sunny dirt ledgs of the grass-shrub formation,Sunny dirt ledgs of the grass-shrub formation,Sunny dirt ledgs of the grass-shrub formation,ABOUT 9000 FT,,518129|C0666203F,Typed,no type status
Entry 109,J. J. WURDACK No. 705,J. J. Wurdack,,705,1 June 1962,1962-06-01,,Thelypteris (Thelypteris) pavoniana (Klotzsch),Thelypteris pavoniana (Klotzsch) Tryon,Alan R. Smith,"1979, 1989",,Peru,Amazonas,Chachapoyas,,"Upper slopes of Puma-urcu east-southeast of Chachapoyas, elev. 2700-3000 m",Upper slopes of Puma-urcu east-southeast of Chachapoyas,"On banks, locally frequent",2700-3000 m,,1647265|C0666202F,Typed,no type status
Entry 110,ROLLA M. TRYON & ALICE F. TRYON,R. M. Tryon,A. F. Tryon,5202,"Aug. 13, 1956",1956-08-13,,Thelypteris Dryopteris,Thelypteris opulenta (Kaulf.) Fosberg,A. R. Smith,"1979, 1990",,PERU,LORETO,Maynas,Iquitos,"Rio Itaya, 10 km. s. of Iquitos","Rio Itaya, 10 kilometers south of Iquitos",In old banana planting,,,1587072|C0666112F,Typed,no type status
Entry 111,"Louis O. Williams, Antonio Molina R. and Terua P. Williams",Louis O. Williams,Antonio Molina R.|Terua P. Williams,23634,"January 8-15, 1963",1963-01-08,1963-01-15,Lycopodium clavatum L.,Lycopodium clavatum L.,C. V. Morton & D. B. Lellinger,1964,,NICARAGUA,Matagalpa,,,"Cloud forest area, Sta. María de Ostuma, Cordillera Central de Nicaragua between Matagalpa and Jinotega, Department of Matagalpa, alt. 1300-1500 meters","Cloud forest area, Sta. María de Ostuma, Cordillera Central de Nicaragua between Matagalpa and Jinotega, Department of Matagalpa, alt. 1300-1500 meters",Terrestrial on open bank,alt. 1300-1500 meters,,1604338|C0639123F,Typed,no type status
Entry 112,"John T. Atwood, Jr.",J. T. Atwood,,77105,8 Feb. 1977,1977-02-08,,Adiantum trapeziforme L.,Adiantum poiretii McCarthy & Hickey,M. R. McCarthy,2012,,Nicaragua,Granada,,,Volcan Mombacho. Lower cloud forest near Finca Cutirre,Volcan Mombacho. Lower cloud forest near Finca Cutirre,Lower cloud forest,,,1868242,Mix of Handwritten and Typed,no type status
Entry 113,H. et al.,H. Hinton,et al.,7644,4-21-35,1935-04-21,,Adiantum trapeziforme L.,Adiantum exuberans McCarthy & Hickey,M. R. McCarthy,2012,,Mexico,Mexico,Temascaltepec,Pantoja,Pantoja,Pantoja,dry barranca,,,954869,Mix of Handwritten and Typed,no type status
Entry 114,Leg. R.A.Maas Geesteranus,R. A. Maas Geesteranus,,5744,12-VIII-1949,1949-08-12,,Asplenium dregeanum Kze.,Asplenium sandersonii Hook.,R. Faden,1976,Conopharyngia holstii,Kenya,Nyanza,Kericho,,"South Western Mau Forest Reserve, camp 8, lat. 0°36'30"" S., long. 35°18'20"" E.","South Western Mau Forest Reserve, camp 8","riparian-woodland along the river Itare, among others with Conopharyngia holstii; epiphytic, frond fairly pale green; shaded, frequent",1920 m s.m.,"lat. 0°36'30"" S., long. 35°18'20"" E.",1445440 | C0355438F,Mix of Handwritten and Typed,no type status
