Entry,Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,"I'm unable to transcribe the collector's name from the image. However, I can provide the rest of the transcription based on the visible information","I'm unable to transcribe the entire label as it is in an image format. However, I can provide a transcription based on the visible text"
Entry 64,0064_V0152152F_collage.png,Manuel Rimachi Y.,M. Rimachi,N/A,4268,"February 8, 1979",1979-02-08,N/A,Nectandra krukovii (A.C. Smith) Kosterm.,Nectandra krukovii,N/A,N/A,N/A,Peru,Loreto,Requena,Saquena,"Río Ucayali, Quebrada de Aucayacu, above Genaro Herrera","Quebrada de Aucayacu, above Genaro Herrera",marginal forest,8 m,N/A,N/A,Typed,no type status,,
Entry 65,0065_V0277223F_collage.png,N/A,N/A,N/A,95(P1-2),Julio/82,1982-07-00,N/A,Parqueiba sericea Tul.,Parqueiba sericea,T. Plowman,1985,N/A,Peru,Loreto,Maynas,N/A,Ampiyacu-Pevas,Ampiyacu-Pevas,Bosque secundario 35 años,100 m.s.n.m.,N/A,N/A,Typed,no type status,,
Entry 66,0066_V0195906F_collage.png,Percy Núñez & S. Walsh,P. Núñez,S. Walsh,6530,29 October 1986,1986-10-29,N/A,Euphorbia heterophylla L.,Euphorbia heterophylla,M. J. Huft,1987,N/A,Peru,Cuzco,La Convención,Quillabamba,Salaspampa,Salaspampa,Herb 0.6 m; fruits green,Alt. 1110 m.,N/A,N/A,Typed,no type status,,
Entry 67,0067_V0290180F_collage.png,Jose Schunke,J. Schunke,N/A,9560,30 Mayo 1977,1977-05-30,N/A,Hamelia patens Jacq.,Hamelia patens,J. Dwyer,1980,N/A,Peru,San Martin,Lamas,Alonso de Alvarado,San Juan de Pacaiquapa km 72 carretera Tarapoto-Moyobamba,San Juan de Pacaiquapa km 72 carretera Tarapoto-Moyobamba,En bosque secundario con abundante luz solar,Alt. 1000-1050 m.,N/A,N/A,Typed,no type status,,
Entry 68,0068_V0201636F_collage.png,"G. Moore, L. Luna, J. Ruiz",G. Moore,L. Luna | J. Ruiz,138,18-8-81,1981-08-18,N/A,Ficus,Ficus,N/A,N/A,N/A,Peru,Loreto,N/A,N/A,"Quistococha, 14km north of Iquitos","Quistococha, 14 kilometers north of Iquitos","Tree of 20 meters. Important medicinal plant. The ""milk"" from the bark is drunk.",600m elev,N/A,N/A,Typed,no type status,,
Entry 69,0069_V0251887F_collage.png,E. P. Killip A. C. Smith,E. P. Killip,A. C. Smith,26721,"July 20, 21, 1929",1929-07-20,1929-07-21,Psychotria racemosa (Aubl.) Willd.,Psychotria racemosa,N/A,N/A,N/A,Peru,Junín,N/A,N/A,Cahuapanas on Rio Pichis,Cahuapanas on Rio Pichis,dense forest,alt. about 340 meters,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 70,0070_V0243915F_collage.png,M. O. Dillon and I. Sánchez V.,M. O. Dillon,I. Sánchez V.,6310,22 Jul 1991,1991-07-22,N/A,Wissadula grandifolia Baker & Rusby,Wissadula grandifolia,P. Fryxell,1993,N/A,Peru,Piura,Huancabamba,N/A,ca. 2 km N of Canchaque,2 kilometers north of Canchaque,Shrubs to 1 meter flowers yellow,ca. 1450 m alt.,[5°24'S; 79°36'W],N/A,Typed,no type status,,
Entry 71,0071_V0187051F_collage.png,COLL. J. FRANCIS MACBRIDE,J. F. Macbride,N/A,4806,"JUNE 23, 1923",1923-06-23,N/A,Croton ballivianus,Croton ballivianus,N/A,N/A,N/A,Peru,N/A,N/A,N/A,CUEVA GRANDE ESTACION NEAR POZUZO,Cueva Grande Estacion near Pozuzo,Sunny brushy slope. Open brushy 4-5 ft. shrub,ABOUT 3500 FEET,N/A,N/A,Typed,no type status,,
Entry 72,0072_V0258426F_collage.png,A. Sagastegui A.,A. Sagastegui,N/A,3920,18 Julio 1962,1962-07-18,N/A,Geranium chilloense Kunth,Geranium chilloense,C. Aedo,2007,N/A,Peru,Cajamarca,Contumaza,N/A,Ladera calcita,[precise locality unknown],N/A,2920 m s.n.m.,N/A,3820,Mix of Handwritten and Typed,no type status,,
Entry 73,0073_V0193750F_collage.png,J. Mostacero L. | S. Leiva G. | F. Mejia C. | F. Pelaez | J. Guevara B.,J. Mostacero,S. Leiva G. | F. Mejia C. | F. Pelaez | J. Guevara B.,1640,14-X-1986,1986-10-14,N/A,Dalechampia aristolochiifolia Kuth,Dalechampia aristolochiifolia,M. J. Huft,1992,N/A,Peru,Cajamarca,Cutervo,N/A,La Pucarilla (Socota-San Andres),La Pucarilla,Laderas al borde de carretera,2450 m.s.n.m,N/A,DUPLICADOS F.240,Mix of Handwritten and Typed,no type status,,
Entry 74,0074_V0228073F_collage.png,"Leg. Spichiger, R. & P.-A. Loizeau",R. Spichiger,P.-A. Loizeau,3012,10-4-86,1986-04-10,N/A,Pourouma guianensis ssp guianensis,Pourouma guianensis,unsure and check,N/A,N/A,Peru,Loreto,N/A,N/A,Arboretum arbre 5/452,Arboretum arbre 5/452,"Bosque de terraza alta, suelo arenoso",Alt. 125 m,73°45'W-4°55'S,N/A,Mix of Handwritten and Typed,no type status,,
Entry 75,0075_V0100062F_collage.png,G. Klug,G. Klug,N/A,660,Dec. 1929,1929-12-00,N/A,Balsesia floribunda Benth. det. J. F. Macbride,Balsesia floribunda,J. F. Macbride,N/A,N/A,Peru,Loreto,N/A,N/A,Mishuyacu near Iquitos,Mishuyacu near Iquitos,forest,alt. 100 meters,N/A,N/A,Typed,no type status,,
Entry 76,0076_V0198402F_collage.png,coll. T. R. Dudley,T. R. Dudley,N/A,12063,24 Aug. 1968,1968-08-24,N/A,Dendrophthora mesembryanthemifolia Ule,Dendrophthora sp.,J. Kuijt,18 Dec. 1984,N/A,Peru,Ayacucho,La Mar,N/A,"eastern Massif of the Cordillera Central opposing the Cordillera Vilcabamba between Tambo San Miguel, Ayna and the Hacienda Luisiana","eastern Massif of the Cordillera Central opposing the Cordillera Vilcabamba between Tambo San Miguel, Ayna and the Hacienda Luisiana","Parasitic, foliage yellowish-green, calyx bright orange, translucent pink, waxy in dense areas isolated, 40-50 feet high, in hepatic forest at timberline",c. 3220 meters,c. 73°53'W 12°45'S,N/A,Typed,no type status,,
Entry 77,0077_V0225274F_collage.png,G. Klug,G. Klug,N/A,1595,April 11 1931,1931-04-11,N/A,Ficus Llewelynii Standl,Ficus trigona,M. Vásquez Avila,Utrecht 1983,N/A,Peru,Loreto,N/A,N/A,Mishuyacu near Iquitos,Mishuyacu near Iquitos,forest,alt. 100 meters,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 78,0078_V0224820F_collage.png,Mildred E. Mathias Dermot Taylor,M. E. Mathias,D. Taylor,5576,10 July 1961,1961-07-10,N/A,Malpighiaceae But I cannot name it sterile not even to genus,Malpighiaceae,W. R. Anderson,1983,N/A,Peru,Loreto,N/A,N/A,vicinity of Requena,vicinity of Requena,"Liana 2-3 inches in diameter ""Barbasco silvestre""",N/A,N/A,N/A,Typed,no type status,,
Entry 79,0079_V0304780F_collage.png,José Schunke Vigo,J. Schunke,N/A,6677,17 Dec 1964,1964-12-17,N/A,Paullinia imberbis Radlk.,Paullinia bracteosa,D. R. Simpson,Apr. 1973,N/A,Peru,Loreto,N/A,N/A,Quebrada de Maquia (Contamana),Quebrada de Maquia,tall forest,220 m alt.,N/A,N/A,Typed,no type status,,
Entry 80,0080_V0238260F_collage.png,COLL. LLEWELYN WILLIAMS,L. Williams,N/A,3363,"SEPT.-OCT., 1929",1929-09-00,1929-10-00,Psychotria viridis R & P,Psychotria viridis,N/A,N/A,N/A,Peru,Loreto,N/A,N/A,Alto Rio Itaya,Alto Rio Itaya,Forest of Pauris,Alt. 145 m.,N/A,270,Mix of Handwritten and Typed,no type status,,
Entry 81,0081_V0225047F_collage.png,"Coll. T. Plowman, A. Sagástegui A., J. Mostacero L., F. R. Mejía & F. Peláez",T. Plowman,A. Sagástegui A. | J. Mostacero L. | F. R. Mejía | F. Peláez,14242,12 July 1986,1986-07-12,N/A,Abutilon mollissimum (Cav.) Sweet,Abutilon mollissimum,P. Fryxell,1987,N/A,Peru,Cajamarca,Jaén,N/A,"Road from Pucará to Chamaya, km. 21 east of Pucará, along Río Huancabamba","Road from Pucará to Chamaya, 21 kilometers east of Pucará, along Río Huancabamba",Dry scrub forest on steep slopes,Alt. 700 m,N/A,No. 14242,Typed,no type status,,
Entry 82,0082_V0239614F_collage.png,Magda Chanco with Michelle McMahon and Larry Hufford,M. Chanco,M. McMahon | L. Hufford,s.n.,14 April 2003,2003-04-14,N/A,Abutilon sp.,Abutilon sp.,N/A,N/A,N/A,Peru,Cajamarca,N/A,N/A,Chilete-San Pablo road about 15 km from Chilete,Chilete-San Pablo road about 15 kilometers from Chilete,N/A,3614 feet elevation,S7° 10.554' W78° 49.665',N/A,Typed,no type status,,
Entry 83,0083_V0414961F_collage.png,"Marcos Ríos 4399 Tony Mori, Nigel Pitman, Luis Torres, Corine Vriesendorp",M. Ríos,T. Mori | N. Pitman | L. Torres | C. Vriesendorp,4399,13 octubre 2014,2014-10-13,N/A,Andira macrothyrsa Ducke,Andira macrothyrsa,N/A,N/A,N/A,Peru,Loreto,Requena,N/A,"Prov. Requena, Dtto. de Soplin. Quebrada Yanayacu-Rio Blanco. Campamento Wiswincho del inventario rapido #27, de la region Tapiche-Blanco","Quebrada Yanayacu-Rio Blanco, Campamento Wiswincho del inventario rapido number 27, de la region Tapiche-Blanco","Bosque de Planicie Inundable de aguas blancas. Arbol 7 m, flores amarillas y los botones son de color beige (beige)",Alt. 90-110 msnm,"05°48'33.5""S 73°51'53.8""W",N/A,Typed,no type status,,
Entry 84,0084_V0414962F_collage.png,Marcos Ríos Tony Mori Nigel Pitman Luis Torres Corine Vriesendorp,M. Ríos,T. Mori | N. Pitman | L. Torres | C. Vriesendorp,4399,13 octubre 2014,2014-10-13,N/A,Andira macrothyrsa Ducke,Andira macrothyrsa,N/A,N/A,N/A,Peru,Loreto,Requena,N/A,Quebrada Yanayacu-Río Blanco Campamento Wiswincho del inventario rápido #27 de la región Tapiche-Blanco,Quebrada Yanayacu-Río Blanco Campamento Wiswincho del inventario rápido #27 de la región Tapiche-Blanco,Bosque de Planicie Inundable de aguas blancas Árbol 7 m flores amarillas y los botones son de color beige (beige),90-110 msnm,"05°48'33.5""S 73°51'53.3""W",N/A,Typed,no type status,,
Entry 85,0085_V0462893F_collage.png,Ynes Mexia,Y. Mexia,N/A,8265,"Oct. 9, 1936",1936-10-09,N/A,Piper callosum Ruiz & Pavon,Piper callosum,W. Trelease,N/A,N/A,Peru,Huanuco,N/A,N/A,Near confluence Rio Cayumba with Huallaga,Near confluence Rio Cayumba with Huallaga,Forested slope above road,Alt. 805 m,N/A,N/A,Typed,no type status,,
Entry 86,0086_V0462895F_collage.png,Ynes Mexia,Y. Mexia,N/A,6157,"Nov. 24, 1931",1931-11-24,N/A,Piper callosum Ruiz & Pav.,Piper callosum,W. Trelease,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche Right bank of mouth of Rio Santiago,Above Pongo de Manseriche Right bank of mouth of Rio Santiago,Dense forest,Alt. 200 m.,N/A,N/A,Typed,No type status,,
Entry 87,0087_V0441679F_collage.png,Coll. Donald R. Simpson & José Schunke V.,D. R. Simpson,J. Schunke V.,565,"January 4, 1968",1968-01-04,N/A,Ipomoea carnea Jacq.,Ipomoea carnea,D. Simpson,Jan. 1969,N/A,Peru,Tumbes,Tumbes,Pampas de Hospital,Along the road about 10 km. northwest of El Caucho,Along the road about 10 kilometers northwest of El Caucho,"Vine clambering over shrubs; corolla pale lavender, open in the morning sun, closed on this cloudy afternoon when collected. Common from the dry, deciduous forest zone, downward into the very dry thorn-scrub.",N/A,N/A,N/A,Typed,no type status,,
Entry 88,0088_V0441677F_collage.png,Coll. T. Plowman & P. M. Rury,T. Plowman,P. M. Rury,11105,6 December 1981,1981-12-06,N/A,Ipomoea carnea Jacq.,Ipomoea carnea,P. MacDonald,1983,N/A,Peru,Huánuco,Huánuco,N/A,8 km. northeast of Huánuco on road to Tingo María,8 kilometers northeast of Huánuco on road to Tingo María,Scandent shrub on roadside near houses. Stem with milky sap. Fls. pink.,Alt. 1750 m.,"Approx. 9°52'S., 76°11'W.",N/A,Typed,no type status,,
Entry 89,0089_V0401892F_collage.png,Robin B. Foster,R. B. Foster,N/A,4240,"Aug. 19, 1978",1978-08-19,N/A,Aechmea,Aechmea corymbosa,E. J. Gouda,2018-02-05,N/A,Peru,Loreto,Maynas,N/A,Rio Nanay Caseria Mishana 30km SW of Iquitos,Callicebus Biological Res 4km S of Mishana,Terrestrial in white sand scrub bracts bright red-pink flowers white Forested hills on white or brown sand soils,N/A,N/A,N/A,Typed,no type status,,
Entry 90,0090_V0460617F_collage.png,"J. Farfán, L. Valenzuela, I. Huamantup a, A. Carazas, W. Argandoña 1262",J. Farfán,L. Valenzuela | I. Huamantup a | A. Carazas | W. Argandoña,1262,23 Octubre 2006,2006-10-23,N/A,Anthurium clavigerum Poepp.,Anthurium clavigerum,T. B. Croat,2008,N/A,Peru,Cusco,La Convención,N/A,"Dist. Vilcabamba, Chuaniquiri camino a Riobamba, Bosque secundario",Chuaniquiri camino a Riobamba,"Bosque Secundario. Epífita, hasta 70 cm, espádice rojo, espata verde.",1009 m,"12°47'15""S 073°10'10""W",N/A,Typed,no type status,,
Entry 91,0091_V0469643F_collage.png,Thomas B. Croat,T. B. Croat,N/A,18210,"July 18, 1972",1972-07-18,N/A,Agave americana L.,Agave americana,N/A,N/A,N/A,Peru,Loreto,N/A,N/A,Sandy area 12.5 km. SW of Iquitos on road to Lago Quisto-cocha,Sandy area 12.5 kilometers southwest of Iquitos on road to Lago Quisto-cocha,Sandy area,N/A,N/A,N/A,Typed,no type status,,
Entry 92,0092_V0075820F_collage.png,coll. T. R. Dudley,T. R. Dudley,N/A,10783,4 July 1968,1968-07-04,N/A,Thelypteris dudleyi A. R. Smith,Thelypteris dudleyi,A. R. Smith,Date 1989,N/A,Peru,Cuzco,La Convencion,N/A,between camp 4&5; almost to Camp 5,between camp 4 and 5 almost to Camp 5,Common terrestrial type with bright green foliage and purplish-black and glossy petioles saxatile on almost vertical rock faces in full sun on old open landslide just above the cloud forest at c. 2825 m one of the commonest colonizers of landslide,c. 2825 m,12° 37'; 73° 32',65658,Typed,Isotype,,
Entry 93,0093_V0075836F_collage.png,S. Knapp,S. Knapp,N/A,5881,4 July 1982,1982-07-04,N/A,TRICHIPTERIS PINNATA Stolze,Trichipteris pinnata,Robert G. Stolze,1984,N/A,Panama,Colón,N/A,N/A,"Santa Rita Ridge road, 21-26 km from Transisthmian Highway","Santa Rita Ridge road, 21-26 kilometers from Transisthmian Highway",Tropical wet forest,500-550 m,"9°25'N, 79°37'W",1932768,Typed,Isotype,,
Entry 94,0094_C0616676F_collage.png,COL. J. DORANTES,J. Dorantes,N/A,455,01/01/1972,1972-01-01,N/A,Woodwardia spinulosa Mart. & Gal.,Woodwardia spinulosa,M. Palacios-Rios,"September, 2000",N/A,Mexico,Veracruz,Jalapa,N/A,Lito del Gato,Lito del Gato,Bosque caducifolio suelo rojo arcilloso muy abundante helecho perenne veg. riparia,TAM: 1.30 M.,MAPA 38.5 29.0,P005051,Typed,no type status,,
Entry 95,0095_C0644079F_collage.png,"A. Monteagudo, C. Mateo, G. Ortiz",A. Monteagudo,C. Mateo | G. Ortiz,4909,10 Abril 2003,2003-04-10,N/A,Blechnum occidentalis L.,Blechnum occidentalis,H. van der Werff,2005,N/A,Peru,Pasco,Oxapampa,N/A,Distrito Pozuzo Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar Zona de Recuperación,Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar Zona de Recuperación,Bosque ribereño,1100-1250m,10°15'S 75°13'W,N/A,Typed,no type status,,
Entry 96,0096_C0658238F_collage.png,Ynes Mexia,Y. Mexia,N/A,8066,"May 14, 1936",1936-05-14,N/A,Adiantum pulverulentum L.,Adiantum pulverulentum,Copeland,N/A,N/A,Peru,Cuzco,La Convencion,N/A,upper valley of Rio Sambray western affluent of Vilcanota along stream in virgin forest,upper valley of Rio Sambray western affluent of Vilcanota along stream in virgin forest,"Common scattered ""Raqui-raqui""",Alt. about 1800 m.,N/A,N/A,Typed,no type status,,
Entry 97,0097_C0637474F_collage.png,J.I. Calzada,J. I. Calzada,N/A,5759,11-enero-1980,1980-01-11,N/A,Diplazium francois Liebm.,Diplazium francois,R. G. Stolze,1983,Liquidambar styraciflua | Quercus | Alnus,Mexico,Veracruz,Xico,N/A,Ranchería de Coatititlán,Ranchería de Coatititlán,Bosque Caducifolio Muy húmedo,1820 m s n m,19° 29' N 97° 04' W,N/A,Typed,no type status,,
Entry 98,0098_C0636906F_collage.png,Antonio Molina R.,A. Molina,N/A,1427,"Nov. 4, 1948",1948-11-04,N/A,Thelypteris piloso-hispida (Hook) Morton,Thelypteris rudis,A. R. Smith,1974,N/A,Honduras,Francisco Morazán,N/A,N/A,Helecho arboreo Bosque lluvioso norte de la Mt Uyuca caminos Tatumbla Lebranza y Quebrada El Trandillo sobre la Mt Uyuca,North of the Mount Uyuca roads Tatumbla Lebranza and Quebrada El Trandillo on the Mount Uyuca,Bosque lluvioso,Alt 1800 m,at about Longitude 87 W and Latitude 14 N,N/A,Typed,no type status,,
Entry 99,0099_C0665739F_collage.png,B. León & N. Huapaya,B. León,N. Huapaya,2911,10 setiembre 1991,1991-09-10,N/A,Thelypteris aucholora (Sod.) Reed,Thelypteris aucholora,R. G. Stolze,1992,N/A,Peru,Cuzco,Paucartambo,N/A,"Bosque de Nubes, Río La Unión. En ladera.","Bosque de Nubes, Río La Unión","Hierba, rizoma masivo rastrero, hojas 1.5 m largo, pinnas reducidas base nectarios presentes",1700-1800 m,N/A,N/A,Typed,no type status,,
Entry 100,0100_C0626158F_collage.png,"Louis O. Williams, Antonio Molina R., Terua P. Williams, Dorothy N. Gibson, and Chester Laskowski",L. O. Williams,A. Molina R. | T. P. Williams | D. N. Gibson | C. Laskowski,27621,"January 15, 1965",1965-01-15,N/A,Polypodium blepharodes Maxon,Grammitis blepharodes,R. Stolze,1965,N/A,Nicaragua,Matagalpa,N/A,N/A,"Montane rain forest, or cloud forest, Disparate de Potter, Sta. María de Ostuma, Cordillera Central de Nicaragua","Disparate de Potter, Santa María de Ostuma, Cordillera Central de Nicaragua",Epiphyte on mossy tree,alt. 1600 m,N/A,N/A,Typed,no type status,,
Entry 101,0101_C0665657F_collage.png,Ken Young & Mark Eisenberg 265,K. Young,M. Eisenberg,265,20 April 1981,1981-04-20,N/A,Thelypteris (subg. Amauropelta) cheilanthoides (Kunze) Proctor,Thelypteris cheilanthoides,A. R. Smith,1989,N/A,Peru,Cuzco,La Convencion,N/A,"Just east of Quillabamba. Finca Chichima; cocoa, coffee, yuca, mangoes, bananas, corn crops grown.",Just east of Quillabamba. Finca Chichima,"Cocoa, coffee, yuca, mangoes, bananas, corn crops grown. Fern. Terrestrial; 1 m tall.",Alt. 1300-1400 m.,N/A,N/A,Typed,no type status,,
Entry 102,0102_C0045536F_collage.png,Thomas G. Lammers,T. G. Lammers,N/A,10674,9 May 1998,1998-05-09,N/A,Dryopteris carthusiana (Vill.) H.P. Fuchs,Dryopteris carthusiana,N/A,N/A,N/A,United States,Illinois,Cook,N/A,"Palos Twp. Swallow Cliffs Woods Forest Preserve, southwest of the jct. of US Hwy 45 and State Hwy 83","Swallow Cliffs Woods Forest Preserve, southwest of the junction of US Highway 45 and State Highway 83",Local in mesic maple-basswood forest on steep slopes of deep ravine south of toboggan run,N/A,N/A,N/A,Typed,no type status,,
Entry 103,0103_C0627900F_collage.png,Louis O. Williams | Antonio Molina R. | Albertina R. Molina,L. O. Williams,A. Molina R. | A. R. Molina,12562,"Mayo 22, 1963",1963-05-22,N/A,Polypodium montigenum Maxon,Polypodium montigenum,A. Molina,N/A,N/A,El Salvador,Santa Ana,N/A,N/A,Bosque abierto de Montaña Montecristo,Montecristo,Epífita. Bosque abierto de Montaña,Alt. 2000 m,N/A,N/A,Typed,no type status,,
Entry 104,0104_V0082645F_collage.png,M. O. Dillon,M. O. Dillon,N/A,5376,21 Dec 1987,1987-12-21,N/A,Notholaena mollis Kunze,Notholaena mollis,unsure and check,N/A,Cheilanthes mollis | Gomphrena decumbens,Chile,Antofagasta,Antofagasta,N/A,Cerro Perales ca. 5 km E of Taltal,Cerro Perales approximately 5 kilometers east of Taltal,Terrestrial growing in rock crevices,600-850 m,25° 25' S 70° 25' W,N/A,Typed,no type status,,
Entry 105,0105_C0666362F_collage.png,Rolla M. & Alice F. Tryon,R. M. Tryon,A. F. Tryon,6566,23 October 1963,1963-10-23,N/A,Thelypteris lindigii (C.Chr.) Alston,Thelypteris rufa,A. R. Smith,"1979, 1989",N/A,Peru,Ancash,N/A,N/A,"Road from Huaras to Cusma, west valley","Road from Huaras to Cusma, west valley",damp shaded rocks,2800 m.,N/A,N/A,Typed,no type status,,
Entry 106,0106_C0666207F_collage.png,E. P. Killip | A. C. Smith,E. P. Killip,A. C. Smith,2974,"September 22-29, 1929",1929-09-22,1929-09-29,Dryopteris megalodus (Schk.) Urban,Thelypteris pennata,A. R. Smith,1989,N/A,Peru,Loreto,N/A,N/A,"Soledad, on Rio Itaya","Soledad, on Rio Itaya",Dense forest,alt. about 110 meters,N/A,N/A,Typed,no type status,,
Entry 107,0107_C0666206F_collage.png,F. P. Killip | A. C. Smith,F. P. Killip,A. C. Smith,24937,"September 18, 1929",1929-09-18,N/A,Dryopteris megalodus (Schk.) Urban,Thelypteris pennata,A. R. Smith,Date 1989,N/A,Peru,Loreto,N/A,San Antonio,on Rio Itaya,on Rio Itaya,dense forest,alt. about 110 meters,N/A,N/A,Mix of Handwritten and Typed,no type status,,
Entry 108,0108_C0666203F_collage.png,Coll. Macbride & Featherstone,J. F. Macbride,N. Featherstone,1622,"JULY 8-22, 1922",1922-07-08,1922-07-22,Dryopteris pavoniana (Kze) C Chr,Dryopteris pavoniana,A. R. Smith,1979,N/A,Peru,N/A,N/A,Mito,Sunny dirt ledges of the grass shrub formation,[precise locality unknown],Sunny dirt ledges of the grass shrub formation,About 9000 ft,N/A,N/A,Typed,no type status,,
Entry 109,0109_C0666202F_collage.png,J. J. Wurdack No. 705,J. J. Wurdack,N/A,705,1 June 1962,1962-06-01,N/A,Thelypteris (Thelypteris) pavoniana (Klotzsch),Thelypteris pavoniana,D. B. Lellinger | A. R. Smith,"1966 | 1979, 1989",N/A,Peru,Amazonas,Chachapoyas,N/A,Upper slopes of Puma-urcu east-southeast of Chachapoyas,Upper slopes of Puma-urcu east-southeast of Chachapoyas,"On banks, locally frequent",elev. 2700-3000 m,N/A,N/A,Typed,no type status,,
Entry 110,0110_C0666112F_collage.png,ROLLA M. TRYON & ALICE F. TRYON,R. M. Tryon,A. F. Tryon,5202,"Aug. 13, 1956",1956-08-13,N/A,Thelypteris opulenta,Thelypteris opulenta,A. R. Smith,1979,N/A,Peru,Loreto,Maynas,N/A,"Rio Itaya, 10 km. s. of Iquitos","Rio Itaya, 10 kilometers south of Iquitos","In old banana planting. Fertile leaf, sterile pinnae, fertile pinnae.",N/A,N/A,N/A,Typed,no type status,,
Entry 111,0111_C0639123F_collage.png,"Louis O. Williams, Antonio Molina R. and Terua P. Williams",L. O. Williams,A. Molina R. | T. P. Williams,23634,"January 8-15, 1963",1963-01-08,1963-01-15,Lycopodium clavatum L.,Lycopodium clavatum,C. V. Morton | D. B. Lellinger,1964,N/A,Nicaragua,Matagalpa,N/A,N/A,"Cloud forest area, Sta. María de Ostuma, Cordillera Central de Nicaragua between Matagalpa and Jinotega, Department of Matagalpa","Sta. María de Ostuma, Cordillera Central de Nicaragua between Matagalpa and Jinotega",Terrestrial on open bank,alt. 1300-1500 meters,N/A,N/A,Typed,no type status,,
Entry 112,0112_C0675553F_collage.png,John T. Atwood Jr.,J. T. Atwood,N/A,77105,8 Feb. 1977,1977-02-08,N/A,Adiantum trapeziforme L.,Adiantum eximium,M. R. McCarthy,2012,N/A,Nicaragua,Granada,N/A,N/A,Volcan Mombacho Lower cloud forest near finca Cutirre,Volcan Mombacho near finca Cutirre,Lower cloud forest,N/A,N/A,N/A,Typed,no type status,,
Entry 113,0113_C0675619F_collage.png,H. et al.,H.,N/A,7644,4-21-35,1935-04-21,N/A,Adiantum trapeziforme L.,Adiantum exuberans,M. R. McCarthy,2012,N/A,Mexico,Mexico,N/A,Pantoja,Pantoja,[precise locality unknown],dry barranca,N/A,N/A,N/A,Typed,no type status,,
Entry 114,0114_C0355438F_collage.png,Leg. R. A. Maas Geesteranus,R. A. Maas Geesteranus,N/A,5744,12-VIII-1949,1949-08-12,N/A,Asplenium dregeanum Kze.,Asplenium sandersonii,R. Faden,1976,Conopharyngia holstii,Kenya,Nyanza,Kericho,N/A,South Western Mau Forest Reserve camp 8,South Western Mau Forest Reserve camp 8,riparian-woodland along the river Itare,1920 m s.m.,"lat. 0°36'30"" S. longe. 35°12'20"" E.",N/A,Typed,no type status,,
Entry 115,0115_C0359489F_collage.png,"M. Véliz con J. M. Véliz, J. Charco, H. Sainz, J. Lopez y R. Esteban",M. Véliz,J. M. Véliz | J. Charco | H. Sainz | J. Lopez | R. Esteban,16199,24/XI/2005,2005-11-24,N/A,Lophosoria quadripinnata (J.F. Gmel) C. Chr. var quadripinnata,Lophosoria quadripinnata,M. Véliz,24/XI/2005,Quercus sp.,Guatemala,Jalapa,N/A,N/A,"Aldea San Raymundo, río Manzanillos","Aldea San Raymundo, río Manzanillos","Helecho muy frecuente, con frondes compuestos, glaucos en el envés, creciendo dentro de bosque de Quercus sp.",2308 msnm,"14° 33' 43.7'' N, 90° 06' 19.7'' O",F04/2005,Typed,no type status,,
Entry 116,0116_C0662895F_collage.png,Chas. F. Millspaugh,C. F. Millspaugh,N/A,893,Jan. 28-Feb. 6,1899-01-28,1899-02-06,Asplenium dentatum L.,Asplenium dentatum,N/A,N/A,N/A,Jamaica,N/A,N/A,N/A,Port Antonio,Port Antonio,N/A,N/A,N/A,N/A,Typed,no type status,,
Entry 117,0117_C0363828F_collage.png,Collector: T. G. Yuncker,T. G. Yuncker,N/A,17429,"Nov. 17, 1957",1957-11-17,N/A,Lycopodium cernuum L.,Lycopodium cernuum,N/A,N/A,N/A,Jamaica,St. Andrew,N/A,N/A,along trail near Bellevue,along trail near Bellevue,Scrambling over side of cut,Alt. 3000-4000 ft.,N/A,N/A,Typed,no type status,,
Entry 118,0118_C0363985F_collage.png,Carvalho,N. Carvalho,N/A,2092,25-VII-1986,1986-07-25,N/A,Lycopodiella cernua (L.) Pic.-Serm.,Lycopodiella cernua,J. Fernández Casas,1991,N/A,Equatorial Guinea,Bioco,N/A,N/A,"Malabo - Basilé, km 13, cerca de Basilé, 32NMK7808, 390 m, márgenes de la carretera","Malabo - Basile, kilometer 13, near Basile, margins of the road",Postrada. Forma pequeñas colonias dispersas.,390 m,32NMK7808,N/A,Typed,no type status,,
Entry 119,0119_C0363442F_collage.png,Henk van der Werff 11699,H. van der Werff,N/A,11699,12 June 1990,1990-06-12,N/A,Diplazium assimile (Endl.) Bedd.,Diplazium assimile,H. van der Werff,1991,N/A,Australia,Queensland,N/A,N/A,Boonjee logging area at base of Mt. Bartle Frere,Boonjee logging area at base of Mount Bartle Frere,Rainforest,N/A,145°43'E 17°25'S,N/A,Typed,no type status,,
